"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 27, 1984","135.53","135.53","135.53","135.53","-","0.27%"
"Jan 26, 1984","135.17","135.17","135.17","135.17","-","-0.29%"
"Jan 25, 1984","135.56","135.56","135.56","135.56","-","-0.07%"
"Jan 24, 1984","135.66","135.66","135.66","135.66","-","0.38%"
"Jan 23, 1984","135.14","135.14","135.14","135.14","-","-0.27%"
"Jan 20, 1984","135.51","135.51","135.51","135.51","-","0.83%"
"Jan 19, 1984","134.40","134.40","134.40","134.40","-","-0.30%"
"Jan 18, 1984","134.80","134.80","134.80","134.80","-","-0.17%"
"Jan 17, 1984","135.03","135.03","135.03","135.03","-","0.42%"
"Jan 16, 1984","134.47","134.47","134.47","134.47","-","-0.30%"
"Jan 13, 1984","134.87","134.87","134.87","134.87","-","-0.90%"
"Jan 12, 1984","136.10","136.10","136.10","136.10","-","-0.04%"
"Jan 11, 1984","136.15","136.15","136.15","136.15","-","0.73%"
"Jan 10, 1984","135.17","135.17","135.17","135.17","-","-0.34%"
"Jan 09, 1984","135.63","135.63","135.63","135.63","-","0.57%"
"Jan 06, 1984","134.86","134.86","134.86","134.86","-","0.31%"
"Jan 05, 1984","134.44","134.44","134.44","134.44","-","0.19%"
"Jan 04, 1984","134.19","134.19","134.19","134.19","-","0.75%"
"Jan 03, 1984","133.19","133.19","133.19","133.19","-","1.06%"
"Dec 30, 1983","131.79","131.79","131.79","131.79","-","-0.16%"
"Dec 29, 1983","132.00","132.00","132.00","132.00","-","-0.68%"
"Dec 28, 1983","132.90","132.90","132.90","132.90","-","-0.13%"
"Dec 27, 1983","133.07","133.07","133.07","133.07","-","-0.08%"
"Dec 23, 1983","133.17","133.17","133.17","133.17","-","-0.28%"
"Dec 22, 1983","133.54","133.54","133.54","133.54","-","-0.11%"
"Dec 21, 1983","133.69","133.69","133.69","133.69","-","0.03%"
"Dec 20, 1983","133.65","133.65","133.65","133.65","-","-0.19%"
"Dec 19, 1983","133.91","133.91","133.91","133.91","-","-0.10%"
"Dec 16, 1983","134.05","134.05","134.05","134.05","-","0.26%"
"Dec 15, 1983","133.70","133.70","133.70","133.70","-","0.01%"
"Dec 14, 1983","133.68","133.68","133.68","133.68","-","-0.12%"
"Dec 13, 1983","133.84","133.84","133.84","133.84","-","0.54%"
"Dec 12, 1983","133.12","133.12","133.12","133.12","-","0.08%"
"Dec 09, 1983","133.01","133.01","133.01","133.01","-","0.67%"
"Dec 08, 1983","132.13","132.13","132.13","132.13","-","0.02%"
"Dec 07, 1983","132.10","132.10","132.10","132.10","-","0.09%"
"Dec 06, 1983","131.98","131.98","131.98","131.98","-","-0.30%"
"Dec 05, 1983","132.38","132.38","132.38","132.38","-","0.89%"
"Dec 02, 1983","131.21","131.21","131.21","131.21","-","0.33%"
"Dec 01, 1983","130.78","130.78","130.78","130.78","-","0.11%"
"Nov 30, 1983","130.64","130.64","130.64","130.64","-","-0.55%"
"Nov 29, 1983","131.36","131.36","131.36","131.36","-","0.06%"
"Nov 28, 1983","131.28","131.28","131.28","131.28","-","-0.02%"
"Nov 25, 1983","131.30","131.30","131.30","131.30","-","0.33%"
"Nov 23, 1983","130.87","130.87","130.87","130.87","-","0.31%"
"Nov 22, 1983","130.46","130.46","130.46","130.46","-","-0.36%"
"Nov 21, 1983","130.93","130.93","130.93","130.93","-","-0.07%"
"Nov 18, 1983","131.02","131.02","131.02","131.02","-","0.21%"
"Nov 17, 1983","130.75","130.75","130.75","130.75","-","0.38%"
"Nov 16, 1983","130.26","130.26","130.26","130.26","-","0.28%"
"Nov 15, 1983","129.89","129.89","129.89","129.89","-","0.03%"
"Nov 14, 1983","129.85","129.85","129.85","129.85","-","0.43%"
"Nov 10, 1983","129.29","129.29","129.29","129.29","-","-0.37%"
"Nov 09, 1983","129.77","129.77","129.77","129.77","-","-0.28%"
"Nov 07, 1983","130.14","130.14","130.14","130.14","-","0.25%"
"Nov 04, 1983","129.81","129.81","129.81","129.81","-","0.43%"
"Nov 03, 1983","129.26","129.26","129.26","129.26","-","0.28%"
"Nov 02, 1983","128.90","128.90","128.90","128.90","-","-0.26%"
"Nov 01, 1983","129.23","129.23","129.23","129.23","-","0.65%"
"Oct 31, 1983","128.40","128.40","128.40","128.40","-","0.30%"
"Oct 28, 1983","128.02","128.02","128.02","128.02","-","0.03%"
"Oct 27, 1983","127.98","127.98","127.98","127.98","-","0.05%"
"Oct 26, 1983","127.91","127.91","127.91","127.91","-","0.34%"
"Oct 25, 1983","127.48","127.48","127.48","127.48","-","-0.25%"
"Oct 24, 1983","127.80","127.80","127.80","127.80","-","0.72%"
"Oct 21, 1983","126.89","126.89","126.89","126.89","-","-0.16%"
"Oct 20, 1983","127.09","127.09","127.09","127.09","-","0.09%"
"Oct 19, 1983","126.97","126.97","126.97","126.97","-","0.06%"
"Oct 18, 1983","126.90","126.90","126.90","126.90","-","-0.45%"
"Oct 17, 1983","127.47","127.47","127.47","127.47","-","-0.34%"
"Oct 14, 1983","127.90","127.90","127.90","127.90","-","0.28%"
"Oct 13, 1983","127.54","127.54","127.54","127.54","-","-0.25%"
"Oct 12, 1983","127.86","127.86","127.86","127.86","-","0.80%"
