"Date","Price","Open","High","Low","Change %"
"Jan 08, 1996","5.685","5.685","5.685","5.685","0.14%"
"Jan 05, 1996","5.677","5.677","5.677","5.677","0.58%"
"Jan 04, 1996","5.644","5.644","5.644","5.644","1.26%"
"Jan 03, 1996","5.574","5.574","5.574","5.574","-0.38%"
"Jan 02, 1996","5.595","5.595","5.595","5.595","0.36%"
"Dec 29, 1995","5.575","5.575","5.575","5.575","-0.94%"
"Dec 28, 1995","5.628","5.628","5.628","5.628","-0.51%"
"Dec 27, 1995","5.657","5.657","5.657","5.657","-0.51%"
"Dec 26, 1995","5.686","5.686","5.686","5.686","-0.44%"
"Dec 22, 1995","5.711","5.711","5.711","5.711","-0.57%"
"Dec 21, 1995","5.744","5.744","5.744","5.744","-0.30%"
"Dec 20, 1995","5.761","5.761","5.761","5.761","0.21%"
"Dec 19, 1995","5.749","5.749","5.749","5.749","-1.93%"
"Dec 18, 1995","5.862","5.862","5.862","5.862","1.75%"
"Dec 15, 1995","5.761","5.761","5.761","5.761","0.07%"
"Dec 14, 1995","5.757","5.757","5.757","5.757","0.14%"
"Dec 13, 1995","5.749","5.749","5.749","5.749","0.44%"
"Dec 12, 1995","5.724","5.724","5.724","5.724","0.28%"
"Dec 11, 1995","5.708","5.708","5.708","5.708","-0.28%"
"Dec 08, 1995","5.724","5.724","5.724","5.724","-0.16%"
"Dec 07, 1995","5.733","5.733","5.733","5.733","1.02%"
"Dec 06, 1995","5.675","5.675","5.675","5.675","-0.07%"
"Dec 05, 1995","5.679","5.679","5.679","5.679","0.73%"
"Dec 04, 1995","5.638","5.638","5.638","5.638","-1.16%"
"Dec 01, 1995","5.704","5.704","5.704","5.704","-0.71%"
"Nov 30, 1995","5.745","5.745","5.745","5.745","-1.44%"
"Nov 29, 1995","5.829","5.829","5.829","5.829","-0.85%"
"Nov 28, 1995","5.879","5.879","5.879","5.879","0.00%"
"Nov 27, 1995","5.879","5.879","5.879","5.879","-0.56%"
"Nov 24, 1995","5.912","5.912","5.912","5.912","-0.44%"
"Nov 23, 1995","5.938","5.938","5.938","5.938","0.00%"
"Nov 22, 1995","5.938","5.938","5.938","5.938","-0.15%"
"Nov 21, 1995","5.947","5.947","5.947","5.947","0.22%"
"Nov 20, 1995","5.934","5.934","5.934","5.934","0.41%"
"Nov 17, 1995","5.910","5.910","5.910","5.910","0.00%"
"Nov 16, 1995","5.910","5.910","5.910","5.910","-1.25%"
"Nov 15, 1995","5.985","5.985","5.985","5.985","0.62%"
"Nov 14, 1995","5.948","5.948","5.948","5.948","-0.20%"
"Nov 13, 1995","5.960","5.960","5.960","5.960","-0.57%"
"Nov 10, 1995","5.994","5.994","5.994","5.994","0.55%"
"Nov 09, 1995","5.961","5.961","5.961","5.961","0.57%"
"Nov 08, 1995","5.927","5.927","5.927","5.927","-0.92%"
"Nov 07, 1995","5.982","5.982","5.982","5.982","0.35%"
"Nov 06, 1995","5.961","5.961","5.961","5.961","0.42%"
"Nov 03, 1995","5.936","5.936","5.936","5.936","0.70%"
"Nov 02, 1995","5.895","5.895","5.895","5.895","-1.39%"
"Nov 01, 1995","5.978","5.978","5.978","5.978","-0.76%"
"Oct 31, 1995","6.024","6.024","6.024","6.024","-0.15%"
"Oct 30, 1995","6.033","6.033","6.033","6.033","-0.13%"
"Oct 27, 1995","6.041","6.041","6.041","6.041","-0.49%"
"Oct 26, 1995","6.071","6.071","6.071","6.071","1.18%"
"Oct 25, 1995","6.000","6.000","6.000","6.000","-0.13%"
"Oct 24, 1995","6.008","6.008","6.008","6.008","-1.17%"
"Oct 23, 1995","6.079","6.079","6.079","6.079","0.61%"
"Oct 20, 1995","6.042","6.042","6.042","6.042","1.19%"
"Oct 19, 1995","5.971","5.971","5.971","5.971","-0.35%"
"Oct 18, 1995","5.992","5.992","5.992","5.992","0.91%"
"Oct 17, 1995","5.938","5.938","5.938","5.938","-0.29%"
"Oct 16, 1995","5.955","5.955","5.955","5.955","-0.13%"
"Oct 13, 1995","5.963","5.963","5.963","5.963","-1.32%"
"Oct 12, 1995","6.043","6.043","6.043","6.043","-0.69%"
"Oct 11, 1995","6.085","6.085","6.085","6.085","-0.13%"
"Oct 10, 1995","6.093","6.093","6.093","6.093","0.26%"
"Oct 09, 1995","6.077","6.077","6.077","6.077","0.15%"
"Oct 06, 1995","6.068","6.068","6.068","6.068","-0.08%"
"Oct 05, 1995","6.073","6.073","6.073","6.073","-0.28%"
"Oct 04, 1995","6.090","6.090","6.090","6.090","-0.54%"
"Oct 03, 1995","6.123","6.123","6.123","6.123","-0.34%"
"Oct 02, 1995","6.144","6.144","6.144","6.144","-0.61%"
"Sep 29, 1995","6.182","6.182","6.182","6.182","-1.36%"
"Sep 28, 1995","6.267","6.267","6.267","6.267","0.00%"
"Sep 27, 1995","6.267","6.267","6.267","6.267","0.06%"
"Sep 26, 1995","6.263","6.263","6.263","6.263","0.27%"
"Sep 25, 1995","6.246","6.246","6.246","6.246","0.06%"
"Sep 22, 1995","6.242","6.242","6.242","6.242","0.55%"
"Sep 21, 1995","6.208","6.208","6.208","6.208","1.64%"
"Sep 20, 1995","6.108","6.108","6.108","6.108","-0.47%"
"Sep 19, 1995","6.137","6.137","6.137","6.137","-0.68%"
"Sep 18, 1995","6.179","6.179","6.179","6.179","0.82%"
"Sep 15, 1995","6.129","6.129","6.129","6.129","0.48%"
"Sep 14, 1995","6.100","6.100","6.100","6.100","-1.36%"
"Sep 13, 1995","6.184","6.184","6.184","6.184","0.41%"
"Sep 12, 1995","6.159","6.159","6.159","6.159","-1.08%"
"Sep 11, 1995","6.226","6.226","6.226","6.226","0.06%"
"Sep 08, 1995","6.222","6.222","6.222","6.222","-0.06%"
"Sep 07, 1995","6.226","6.226","6.226","6.226","0.68%"
"Sep 06, 1995","6.184","6.184","6.184","6.184","0.00%"
"Sep 05, 1995","6.184","6.184","6.184","6.184","-0.75%"
"Sep 01, 1995","6.231","6.231","6.231","6.231","-0.87%"
"Aug 31, 1995","6.286","6.286","6.286","6.286","-0.66%"
"Aug 30, 1995","6.328","6.328","6.328","6.328","-0.53%"
"Aug 29, 1995","6.362","6.362","6.362","6.362","0.27%"
"Aug 28, 1995","6.345","6.345","6.345","6.345","-0.08%"
"Aug 25, 1995","6.350","6.350","6.350","6.350","-1.85%"
"Aug 24, 1995","6.470","6.470","6.470","6.470","-1.70%"
"Aug 23, 1995","6.582","6.582","6.582","6.582","0.34%"
"Aug 22, 1995","6.560","6.560","6.560","6.560","0.46%"
"Aug 21, 1995","6.530","6.530","6.530","6.530","-0.46%"
"Aug 18, 1995","6.560","6.560","6.560","6.560","-0.08%"
"Aug 17, 1995","6.565","6.565","6.565","6.565","0.40%"
"Aug 16, 1995","6.539","6.539","6.539","6.539","-0.20%"
"Aug 15, 1995","6.552","6.552","6.552","6.552","-0.46%"
"Aug 14, 1995","6.582","6.582","6.582","6.582","-0.39%"
"Aug 11, 1995","6.608","6.608","6.608","6.608","1.60%"
"Aug 10, 1995","6.504","6.504","6.504","6.504","0.35%"
"Aug 09, 1995","6.481","6.481","6.481","6.481","0.34%"
"Aug 08, 1995","6.459","6.459","6.459","6.459","-0.06%"
"Aug 07, 1995","6.463","6.463","6.463","6.463","-0.48%"
"Aug 04, 1995","6.494","6.494","6.494","6.494","-0.46%"
"Aug 03, 1995","6.524","6.524","6.524","6.524","1.35%"
"Aug 02, 1995","6.437","6.437","6.437","6.437","-0.60%"
"Aug 01, 1995","6.476","6.476","6.476","6.476","0.81%"
"Jul 31, 1995","6.424","6.424","6.424","6.424","-0.74%"
"Jul 28, 1995","6.472","6.472","6.472","6.472","0.81%"
"Jul 27, 1995","6.420","6.420","6.420","6.420","-0.60%"
"Jul 26, 1995","6.459","6.459","6.459","6.459","0.75%"
"Jul 25, 1995","6.411","6.411","6.411","6.411","-0.54%"
"Jul 24, 1995","6.446","6.446","6.446","6.446","-1.33%"
"Jul 21, 1995","6.533","6.533","6.533","6.533","1.89%"
"Jul 20, 1995","6.412","6.412","6.412","6.412","0.00%"
"Jul 19, 1995","6.412","6.412","6.412","6.412","1.71%"
"Jul 18, 1995","6.304","6.304","6.304","6.304","1.22%"
"Jul 17, 1995","6.228","6.228","6.228","6.228","1.17%"
"Jul 14, 1995","6.156","6.156","6.156","6.156","1.10%"
"Jul 13, 1995","6.089","6.089","6.089","6.089","-0.07%"
"Jul 12, 1995","6.093","6.093","6.093","6.093","-0.41%"
"Jul 11, 1995","6.118","6.118","6.118","6.118","1.31%"
"Jul 10, 1995","6.039","6.039","6.039","6.039","-0.13%"
"Jul 07, 1995","6.047","6.047","6.047","6.047","0.33%"
"Jul 06, 1995","6.027","6.027","6.027","6.027","-2.57%"
"Jul 05, 1995","6.186","6.186","6.186","6.186","-0.34%"
"Jul 03, 1995","6.207","6.207","6.207","6.207","0.00%"
"Jun 30, 1995","6.207","6.207","6.207","6.207","-0.62%"
"Jun 29, 1995","6.246","6.246","6.246","6.246","2.70%"
"Jun 28, 1995","6.082","6.082","6.082","6.082","-1.03%"
"Jun 27, 1995","6.145","6.145","6.145","6.145","0.41%"
"Jun 26, 1995","6.120","6.120","6.120","6.120","1.11%"
"Jun 23, 1995","6.053","6.053","6.053","6.053","0.48%"
"Jun 22, 1995","6.024","6.024","6.024","6.024","-1.44%"
"Jun 21, 1995","6.112","6.112","6.112","6.112","-0.81%"
"Jun 20, 1995","6.162","6.162","6.162","6.162","0.34%"
"Jun 19, 1995","6.141","6.141","6.141","6.141","-0.95%"
"Jun 16, 1995","6.200","6.200","6.200","6.200","0.34%"
"Jun 15, 1995","6.179","6.179","6.179","6.179","0.41%"
"Jun 14, 1995","6.154","6.154","6.154","6.154","0.54%"
"Jun 13, 1995","6.121","6.121","6.121","6.121","-3.65%"
"Jun 12, 1995","6.353","6.353","6.353","6.353","-0.73%"
"Jun 09, 1995","6.400","6.400","6.400","6.400","2.11%"
"Jun 08, 1995","6.268","6.268","6.268","6.268","1.21%"
"Jun 07, 1995","6.193","6.193","6.193","6.193","1.66%"
"Jun 06, 1995","6.092","6.092","6.092","6.092","0.33%"
"Jun 05, 1995","6.072","6.072","6.072","6.072","-0.41%"
